bd_id,da_out,da_act
ENG,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI016OF2001B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
AHQ0225S1001B,0.00,0.00
AHQ0282J2007A,0.00,0.00
AHQ0445T2001C,0.00,0.00
,0.00,0.00
AOK016D53005A,0.00,0.00
ABU008YQ2002A,0.00,0.00
ABU008YQ2001A,0.00,0.00
AAB008YQ2037A,0.00,0.00
AAW016D53011A,0.00,0.00
AAW016D53011A,0.00,0.00
AHQ0415L1005A,0.00,0.00
AHQ0442J3005A,0.00,0.00
AHQ0442J3003A,0.00,0.00
AHQ0445T2004B,0.00,0.00
ANV048TR2042A,0.00,0.00
AMS048TW1037A,0.00,0.00
ACM048TX2001A,0.00,0.00
ABW052AC1005A,0.00,0.00
AQB054TN1003A,0.00,0.00
AAS063NW1006A,0.00,0.00
AAS066TS1008A,0.00,0.00
AMS078EN1002A,0.00,0.00
AAB084UN1001A,0.00,0.00
ABU084XU2001B,0.00,0.00
ABU096EA1001A,0.00,0.00
AMS096EC1002A,0.00,0.00
ABU096EF5001A,0.00,0.00
AYZ096EF2003A,0.00,0.00
AAS096EL4005A,0.00,0.00
AYS132X2C007A,0.00,0.00
ANV132X25002B,0.00,0.00
ANV153XT9059A,0.00,0.00
ACD008DR1031A,0.00,0.00
ACD054TN1001A,0.00,0.00
AAS066TS1009A,0.00,0.00
AAS084CC2011A,0.00,2.78
AVE008YD2002A,24.77,0.00
AGA054NB1008A,0.00,0.00
,0.00,0.00
,0.00,0.00
ABU054NB2004C,0.00,0.00
ABU084CC2001C,0.00,0.00
ABU090NC8002B,0.00,0.00
AMF088Y23001A,0.00,0.00
ABU008YD2010A,0.00,0.00
ABU008YM2002A,0.00,0.00
ABU056TH2002A,0.00,0.00
ABU153XT9001A,0.00,0.00
AOK036RP1001A,0.00,0.00
AOK048TV1029A,106.20,12.80
AMS048TW1036A,0.00,0.00
AMS078EN1001A,0.00,42.09
,0.00,0.00
AAW008Y62016A,0.00,0.00
AAW016D53004A,0.00,0.00
AAW016D53011A,0.00,0.00
AAW024MA6013C,11.76,11.52
AAW024MA6036A,0.00,0.00
AAW024MA6041B,0.00,8.78
AAW048TP1041B,0.00,0.00
AAW048TP1008B,249.19,13.54
AAW064MR1007A,0.00,0.00
AAW064MR1014A,0.00,0.00
,0.00,0.00
