wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA132,2000,1,IQC
BGA132,2003,2,TPM
BGA132,2005,3,TAPING
BGA132,2010,4,LAPPING
BGA132,2020,5,A21 QUEUE
BGA132,2030,6,W/M
BGA132,2040,7,D/S
BGA132,2050,8,A31
BGA132,2060,9,2IP
BGA132,2061,10,UV
BGA132,2070,11,D/A
BGA132,2080,12,D/A CURE
BGA132,2150,13,PLASMA
BGA132,2090,14,POST D/A Q
BGA132,2200,15,W/B
BGA132,2205,16,A41
BGA132,2209,17,BMP
BGA132,2210,18,3IP
BGA132,2250,19,PLASMA
BGA132,2230,20,M/D QUEUE
BGA132,2300,21,M/D
BGA132,2320,22,T/M
BGA132,2330,23,PMC
BGA132,2405,24,PLASMA
BGA132,2410,25,S/P
BGA132,2430,26,F/S
BGA132,2435,27,P/P
BGA132,2440,28,O/S
BGA132,2450,29,L/S
BGA132,2460,30,F/V
BGA132,2470,31,4IP
BGA132,2480,32,PACK
BGA132,2490,33,SHIP
BGA140,2000,1,IQC
BGA140,2003,2,TPM
BGA140,2005,3,TAPING
BGA140,2010,4,LAPPING
BGA140,2020,5,A21 QUEUE
BGA140,2030,6,W/M
BGA140,2040,7,D/S
BGA140,2050,8,A31
BGA140,2060,9,2IP
BGA140,2061,10,UV
BGA140,2070,11,D/A
BGA140,2080,12,D/A CURE
BGA140,2150,13,PLASMA
BGA140,2090,14,POST D/A Q
BGA140,2200,15,W/B
BGA140,2210,16,3IP
BGA140,2250,17,PLASMA
BGA140,2230,18,M/D QUEUE
BGA140,2300,19,M/D
BGA140,2320,20,T/M
BGA140,2330,21,PMC
BGA140,2405,22,PLASMA
BGA140,2418,23,WTC
BGA140,2410,24,S/P
BGA140,2430,25,F/S
BGA140,2440,26,O/S
BGA140,2450,27,L/S
BGA140,2460,28,F/V
BGA140,2470,29,4IP
BGA140,2480,30,PACK
BGA140,2490,31,SHIP
BGA148,2000,1,IQC
BGA148,2003,2,TPM
BGA148,2005,3,TAPING
BGA148,2010,4,LAPPING
BGA148,2020,5,A21 QUEUE
BGA148,2030,6,W/M
BGA148,2040,7,D/S
BGA148,2050,8,A31
BGA148,2060,9,2IP
BGA148,2061,10,UV
BGA148,2070,11,D/A
BGA148,2080,12,D/A CURE
BGA148,2150,13,PLASMA
BGA148,2090,14,POST D/A Q
BGA148,2200,15,W/B
BGA148,2210,16,3IP
BGA148,2250,17,PLASMA
BGA148,2230,18,M/D QUEUE
BGA148,2300,19,M/D
BGA148,2330,20,PMC
BGA148,2320,21,T/M
BGA148,2405,22,PLASMA
BGA148,2410,23,S/P
BGA148,2430,24,F/S
BGA148,2440,25,O/S
BGA148,2450,26,L/S
BGA148,2460,27,F/V
BGA148,2470,28,4IP
BGA148,2480,29,PACK
BGA148,2490,30,SHIP
BGA161,2000,1,IQC
BGA161,2003,2,TPM
BGA161,2005,3,TAPING
BGA161,2010,4,LAPPING
BGA161,2020,5,A21 QUEUE
BGA161,2030,6,W/M
BGA161,2040,7,D/S
BGA161,2050,8,A31
BGA161,2060,9,2IP
BGA161,2070,10,D/A
BGA161,2080,11,D/A CURE
BGA161,2150,12,PLASMA
BGA161,2090,13,POST D/A Q
BGA161,2200,14,W/B
BGA161,2209,15,BMP
BGA161,2210,16,3IP
BGA161,2250,17,PLASMA
BGA161,2230,18,M/D QUEUE
BGA161,2300,19,M/D
BGA161,2320,20,T/M
BGA161,2330,21,PMC
BGA161,2405,22,PLASMA
BGA161,2418,23,WTC
BGA161,2410,24,S/P
BGA161,2430,25,F/S
BGA161,2435,26,P/P
BGA161,2440,27,O/S
BGA161,2450,28,L/S
BGA161,2460,29,F/V
BGA161,2470,30,4IP
BGA161,2480,31,PACK
BGA161,2490,32,SHIP
BGA164,2000,1,IQC
BGA164,2003,2,TPM
BGA164,2005,3,TAPING
BGA164,2010,4,LAPPING
BGA164,2020,5,A21 QUEUE
BGA164,2030,6,W/M
BGA164,2040,7,D/S
BGA164,2050,8,A31
BGA164,2060,9,2IP
BGA164,2070,10,D/A
BGA164,2150,11,PLASMA
BGA164,2090,12,POST D/A Q
BGA164,2200,13,W/B
BGA164,2205,14,A41
BGA164,2209,15,BMP
BGA164,2210,16,3IP
BGA164,2225,17,F/C
BGA164,2250,18,PLASMA
BGA164,2230,19,M/D QUEUE
BGA164,2300,20,M/D
BGA164,2320,21,T/M
BGA164,2330,22,PMC
BGA164,2405,23,PLASMA
BGA164,2418,24,WTC
BGA164,2410,25,S/P
BGA164,2430,26,F/S
BGA164,2435,27,P/P
BGA164,2440,28,O/S
BGA164,2450,29,L/S
BGA164,2460,30,F/V
BGA164,2470,31,4IP
BGA164,2480,32,PACK
BGA164,2490,33,SHIP
BGA169,2000,1,IQC
BGA169,2003,2,TPM
BGA169,2005,3,TAPING
BGA169,2010,4,LAPPING
