route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive
BGA132,P80CMB401,ENG,VFBGA63H8L,063NWCM018ENG,200,0,2450,N,N,AAS063NW1006A,E,1,,
BGA140,P81CMGM01,ENG,FBGA-96LEA,096EACM008ENG,575,0,2300,N,Y,ABU096EA1001A,E,1,,
BGA140,P81CMHF01,ENG,FBGA-96LEA,096EACM008ENG,2640,0,2300,N,Y,ABU096EA1001A,E,1,,
BGA140,P81CMQ801,ENG,FBGA-60MA,060CACM009ENG,600,0,2320,N,N,ACD060CD3002A,E,1,,
BGA140,P81CMAK01,ENG,FBGA96UEL(2),096ELCM021ENG,1799,0,2450,N,N,AAB096EL1003A,E,1,,
BGA140,P99CMJH01,ENG,FBGA-84UC(2),084UCCM140ENG,280,0,2460,N,N,ACD084CC2003A,E,1,,
BGA140,P99CMH201,ENG,FBGA96UEL(2),096ELCM017ENG,300,0,2460,N,N,AAB096EL1002A,E,1,,
BGA140,P99CMJI01,ENG,FBGA-84UC(2),084UCCM140ENG,280,0,2460,N,N,ACD084CC2003A,E,1,,
BGA148,P80CMFT01,ENG,FBGA-96UEC,096ECCM005ENG,840,0,2250,N,N,AMS096EC1002A,E,1,,
BGA148,P80CMHZ01,ENG,FBGA-84UCK8,084UCCME31ENG,539,0,2440,Y,N,AQB084CC9001A,E,1,,
BGA161,P46AWCI,MXIC,MBGA24G4U,024MAAW087,1,904,2005,N,N,AAW024MAA014A,Q,1,,
BGA161,P46AWB3,MXIC,VFBGA48KEU,048N0AW001,1,1205,2040,N,N,AAW048N03001A,Q,1,,
BGA161,P46AWB6,MXIC,MINIBGA24A3L,024MAAW065,51682,12,2070,N,N,AAW024MA6036A,,6,,Y
BGA161,P46AWB7,MXIC,MINIBGA24A3L,024MAAW065,31440,8,2070,N,N,AAW024MA6036A,,4,,Y
BGA161,P46AWB4,MXIC,VFBGA48KEU,048N0AW001,1205,0,2070,N,N,AAW048N03001A,Q,1,,
BGA161,PXXAWIL,ChipMOS,VFBGA48KEU,048N0AW001,12,0,2070,N,N,AAW048N03001A,Q,1,,
BGA161,P46AWB5,MXIC,VFBGA48KEU,048N0AW001,1205,0,2070,N,N,AAW048N03001A,Q,1,,
BGA161,PXXAWIR,ChipMOS,MBGA24G4U,024MAAW087,10,0,2070,N,N,AAW024MAA014A,Q,1,,
BGA161,P45AWCV05,MXIC,MINIBGA24A3L,024MAAW072,8570,0,2090,N,N,AAW024MA6041B,,7,N2A07-4,Y
BGA161,P45AWCV02,MXIC,MINIBGA24A3L,024MAAW072,8560,0,2090,N,N,AAW024MA6041B,,7,N2A08-5,Y
BGA161,P45AWCW01,MXIC,MINIBGA24A3L,024MAAW072,8560,0,2150,N,N,AAW024MA6041B,,2,N2A07-5,Y
BGA161,P45AWCV06,MXIC,MINIBGA24A3L,024MAAW072,8580,0,2150,N,N,AAW024MA6041B,,7,N2A07-4,Y
BGA161,PXXAWAP01,ChipMOS,MINIBGA24A4L,024MAAW059,300,0,2150,N,N,AAW024MA6031B,,9,N2WB TB,Y
BGA161,P45AWCV07,MXIC,MINIBGA24A3L,024MAAW072,8783,0,2150,N,N,AAW024MA6041B,,7,,Y
BGA161,PXXAWAF01,ChipMOS,MINIBGA24A4L,024MAAW045,144,0,2150,N,N,AAW024MA6022C,,3,N2WB TB,Y
