bom_id,oper,part_id,qty
IA000041,3720,1011CA243A,0.016
IA000026,2021,1071F28502,0.059
IA000026,3720,1011CA234A,0.013
XT153113,2052,1221C20036,5000.000
XT153113,2052,1221R20005,2000.000
XT153113,2070,121101941A,1000.000
XT153113,2430,1011TR439A,7.237
XT153113,2070,1241F6317A,0.200
XT153113,2130,1071F76004,2.272
XT153113,2200,1091A07C41,89.436
XT153113,2300,10819740Z3,0.204
XT153113,2052,1101T70525,8.680
XT153113,2070,SUBMATWNV287,1000.000
XT153113,2130,SUBMATWNV288,2000.000
XT153113,2052,SUBMATSNV149,1000.000
XT153113,2410,1101L75830,153.000
IA000060,3720,1011CA265A,0.008
IA000097,3720,1011CA308A,0.008
6A008121,2052,1221C20036,6000.000
6A008121,2052,1221C20037,1000.000
6A008121,2052,1221R20049,1000.000
6A008121,2070,121101796A,1000.000
6A008121,2434,1011TR727A,9.167
6A008121,2070,1071F350L1,0.047
6A008121,2130,1071F76001,1.008
6A008121,2200,1091A06C41,94.656
6A008121,2300,1081E770A1,0.297
6A008121,2052,1101T70525,8.680
6A008121,2052,SUBMATSNV200,1000.000
6A008121,2070,SUBMATWNV182,1000.000
6A008121,2130,SUBMATWNV207,1000.000
IA000103,3720,1011CA309A,0.016
EN078022,2070,121101025A,1000.000
EN078022,2430,1010TR709A,5.238
EN078022,2070,1071P62022,2.477
EN078022,2200,1091A06T21,74.152
EN078022,2300,1081G771S1,0.153
EN078022,2410,1101L73245,78.000
NW063072,2070,121101924A,1000.000
NW063072,2430,1011TR614A,5.357
NW063072,2070,1071F76005,2.749
NW063072,2200,1091A07T21,29.382
NW063072,2300,1081G1250B,0.201
NW063072,2410,1101L70545,63.000
IA000E07,3720,1011CA189B,0.008
IA000E07,2021,1071F28503,0.150
IA000E06,3720,1011CA316A,0.016
TA086024,2070,120100935C,1000.000
TA086024,2430,1011TR119A,10.185
TA086024,2070,1071P49001,1.330
TA086024,2200,1091A09C21,179.300
TA086024,2300,108192HF26,1.125
TA086024,2410,1231BAS00A,0.070
IA000075,2021,1071FC86R3,0.111
IA000075,3720,1011CA286A,0.008
YU020611,2070,1071F76004,0.000
YU020611,2200,1091A08T41,0.000
YU020611,2300,108192HF36,0.000
YU020611,2070,120100185B,0.000
YU020611,3720,1011CA176A,0.014
Y3012603,2300,10819240H5,0.000
Y3012603,2070,120100153A,0.000
Y3012603,3720,1011CA295A,0.014
Y3012603,2070,1241FAC26S,0.000
Y3012604,2300,10819240H5,0.000
Y3012604,2070,120100155A,0.000
Y3012604,3720,1011CA295A,0.014
Y3012604,2070,1241FAC26S,0.000
OK008601,2300,10819240H5,0.000
OK008601,2070,120100022A,0.000
OK008601,3720,1011CA254A,0.014
OK008601,2070,1241FAC26S,0.000
OA014603,2300,10819240H5,0.000
OA014603,2070,120100163A,0.000
OA014603,3720,1011CA296A,0.014
OA014603,2070,1241FAC26S,0.000
IA000112,3720,1011CA312A,0.008
IA000114,3720,1011CA310A,0.016
EN078019,2070,121101020A,1000.000
EN078019,2430,1010TR709A,5.238
EN078019,2070,1071P62022,3.010
EN078019,2200,1091A06T21,78.766
EN078019,2300,1081G771S1,0.172
EN078019,2410,1101L73245,78.000
IA000013,3720,1011CA190A,0.027
IA000140,3720,1011CA349A,0.008
Y1012604,2070,120100158A,0.000
Y1012604,2070,1071P10764,0.000
Y1012604,2200,1091A08T41,0.000
Y1012604,2300,1081G700L1,0.000
Y1012604,3720,1011CA104A,0.014
YU020604,2070,1071F76004,0.000
YU020604,2200,1091A08T41,0.000
YU020604,2300,108192HF36,0.000
YU020604,2070,120100185B,0.000
YU020604,3720,1011CA176A,0.014
YK008646,2070,120101106A,0.000
YK008646,2070,1071P10764,0.000
YK008646,2200,1091A08T41,0.000
YK008646,2300,108192HF42,0.000
YK008646,2410,1011CA106A,0.014
YU020603,2070,1071F76004,0.000
YU020603,2200,1091A08T41,0.000
YU020603,2300,108192HF36,0.000
YU020603,2070,120100185B,0.000
YU020603,3720,1011CA176A,0.014
OL014602,2070,120100167A,0.000
OL014602,2300,108192HF36,0.000
OL014602,3720,1011CA296A,0.014
OL014602,2070,1241FAC26S,0.000
IA000090,3720,1011CA235A,0.008
OF016606,3720,1011CA214A,0.014
OF016606,2070,120100169A,0.000
OF016606,2300,108192HF36,0.000
OF016606,2070,1241FAC26S,0.000
OF016604,2300,108192HF36,0.000
OF016604,2070,120100169A,0.000
OF016604,3720,1011CA214A,0.014
OF016604,2070,1241FAC26S,0.000
Y7008602,2300,108192HF36,0.000
Y7008602,2070,120100009A,0.000
Y7008602,3720,1011CA180A,0.014
Y7008602,2070,1241FAC26S,0.000
YZ008004,2410,1231BAS00A,0.070
YZ008004,2300,108192HF36,0.009
YZ008004,2070,120100008A,1000.000
YZ008004,3720,1011CA139A,0.014
YZ008004,2070,1241FAC26S,0.083
6A008211,2070,1281S0050A,1000.000
6A008211,2434,1011TR727A,9.167
6A008211,2070,1071F350L1,0.040
6A008211,2130,1071F76001,1.008
6A008211,2200,1091A06C41,78.844
6A008211,2300,1081E770A1,0.297
6A008211,2070,SUBMATWNV419,1000.000
6A008211,2130,SUBMATWNV199,1000.000
TS054044,2070,120100598A,1000.000
TS054044,2430,1011TR028A,10.500
TS054044,2070,1071P49001,1.150
TS054044,2200,1091A07T21,117.464
