MATNR,CLABS
1091A06C41,66000
1091A07C21,282000
1091A07C41,108000
1091A07M41,3000
1091A08C21,30000
1091A08T41,171000
1091A09C41,42000
1091A09C41,39000
1091C07NP3,11000
1091G07PA4,138000
1091G07PA4,69000
1091G08PA1,200000
1091G08PA1,3000
1091G08PA1,90000
1091P10TP1,9000
1091A06T21,174000
1091A06T41,126000
1091A07C41,111000
1091A07C41,114000
1091A07C41,300000
1091A07T21,222000
1091A07T21,300000
1091A07T21,276000
1091A08C41,87000
1091A08C41,33000
1091C07NP3,8000
1091C07NP3,16000
1091G07PA4,73000
1091G07PA4,26000
1091G08PA1,55000
1091G08PA4,94000
1091A06C21,123000
1091A06C21,33000
1091A06C41,63000
1091A06T21,600000
1091A07C41,3000
1091A07C41,186000
1091A08C21,12000
1091A09C21,81000
1091A10T42,48000
1091C07NP3,80000
1091C07NP3,6000
1091C08TP2,10000
1091G07PA4,120000
1091G08MA1,12500
1091G08MA1,88500
1091G08PA1,70000
1091G08PA1,136000
1091G08PA1,48000
1091G08PA1,35000
1091G08PA4,125000
1091G08PA4,109000
1091G08PA4,200000
1091A06C41,60000
1091A07T41,198000
1091A08T21,15000
1091A09C21,18000
1091A12C41,14000
1091C08NP3,12000
1091G07PA4,80000
1091G08PA1,98000
1091G08PA4,165000
1091G08PA4,160000
1091A06C21,219000
1091A06C41,48000
1091A07C41,297000
1091A07T21,201000
1091A07T21,345000
1091A10C41,26000
1091C07NP3,82000
1091C07NP3,48000
1091G07PA4,45000
1091G07PA4,40000
1091G07PA4,30000
1091G08PA1,50000
1091G08PA1,80000
1091G08PA4,20500
1091G08PA4,211000
1091A06T21,630000
1091A06T41,165000
1091A07C41,258000
1091A07C41,189000
1091A07M41,27000
1091A07T21,162000
1091A07T21,156000
1091A07T21,270000
1091A07T41,30000
1091A07T41,267000
1091A08C21,21000
1091A08C41,36000
1091A08T21,45000
1091A08T41,63000
1091A09C41,6000
1091C07NP3,153000
1091C07NP3,71000
1091G08PA1,54000
1091G08PA4,185000
1091A06T21,90000
1091A06T41,30000
1091A07C41,183000
1091A07C41,12000
1091A07C41,45000
1091A07T21,267000
1091A07T41,399000
1091A09C21,51000
1091A09C21,30000
1091A09C41,21000
1091A10C41,20000
1091A10T41,6000
1091C07NP3,66000
1091G08PA1,162000
1091G08PA4,55000
1091G08PA4,90000
1091A06C21,6000
1091A06T21,627000
1091A06T21,57000
1091A06T21,87000
1091A06T21,423000
1091A07C21,246000
1091A07C41,192000
1091A07C41,78000
1091A07T21,36000
1091A07T41,270000
1091A08C41,69000
1091A08C41,60000
1091A09C21,9000
1091A09C41,24000
1091A10C41,12000
1091G08PA1,160000
1091G08PA1,20000
1091G08PA1,19000
