ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP
BB211,UTC3000,RUNNING,P46AWA213,2200,048TPAW103,AAW048TP1008B,21-11-12 19:08,21-11-12 08:33,MXIC,TSOP1-48/M2,720
BB212,UTC3000,RUNNING,P45AWDH24,2200,048TPAW086,AAW048TP1041B,21-11-12 15:03,21-11-12 05:46,MXIC,TSOP1-48/M2,720
BB213,UTC3000,RUNNING,P45BUCP03,2200,096EABU001,ABU096EA1001A,21-11-12 16:04,21-11-12 03:52,ICSI,FBGA-96LEA,2598
BB214,UTC3000,WAIT-REPAIR,P45AWEL04,2200,063XMAW004,AAW063XM5001A,21-11-12 19:54:34,21-11-12 10:56,MXIC,STBGA63BAU,5808
BB215,UTC3000,RUNNING,P46AWA201,2200,048TPAW103,AAW048TP1008B,21-11-12 14:29,21-11-12 03:54,MXIC,TSOP1-48/M2,720
BB216,UTC3000,RUNNING,P46AWA226,2200,048TPAW103,AAW048TP1008B,21-11-12 22:50,21-11-12 12:15,MXIC,TSOP1-48/M2,720
BB217,UTC3000,RUNNING,P45AWDH34,2200,048TPAW086,AAW048TP1041B,21-11-12 12:58,21-11-12 03:40,MXIC,TSOP1-48/M2,720
BB218,UTC3000,RUNNING,P45AWE308,2200,048TPAW086,AAW048TP1041B,21-11-12 18:16,21-11-12 08:59,MXIC,TSOP1-48/M2,720
BB219,UTC3000,RUNNING,P46AWA224,2200,048TPAW103,AAW048TP1008B,21-11-12 23:13,21-11-12 12:38,MXIC,TSOP1-48/M2,720
BB220,UTC3000,RUNNING,P45AWEL05,2200,063XMAW004,AAW063XM5001A,21-11-12 14:55,21-11-12 05:18,MXIC,STBGA63BAU,2635
BB221,UTC3000,RUNNING,P45BUCG03,2200,096EABU001,ABU096EA1001A,21-11-12 22:01,21-11-12 09:36,ICSI,FBGA-96LEA,2640
BB222,UTC3000,PM,P46AWA221,2200,048TPAW103,AAW048TP1008B,21-11-12 22:41,21-11-12 12:41,MXIC,TSOP1-48/M2,720
