pkg_type,process_id,version,detail_id,remark,
	T,	153XT081       ,	 F,	S22000102,	A0803CB1224(KNS)                        ,
	T,	0086A050       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	078EN003ENG    ,	 C,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN003ENG    ,	 C,	S22000102,	A0803CB1169(KNS)                        ,
	T,	063NW062       ,	 G,	S22000102,	A0801CB1232(UTC)                        ,
	T,	086TA127       ,	 E,	S22000102,	A0801CB0462(UTC)                        ,
	T,	020YU006       ,	 F,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	078EN010       ,	 K,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN010       ,	 K,	S22000102,	A0803CB1169(KNS)                        ,
	T,	132X2296       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2296       ,	 C,	S22000102,	A0803CB1295(KNS)                        ,
	T,	012Y1002       ,	 F,	S22000102,	A0803CB0938 (KNS)                       ,
	T,	020YU002       ,	 I,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	008YK046       ,	 E,	S22000102,	A0803CB1315(KNS)                        ,
	T,	020YU001       ,	 J,	S22000102,	A0803CB0826                             ,
	T,	0086A137       ,	 F,	S22000102,	A0803CB1212(KNS)                        ,
	T,	054TS044       ,	 G,	S22000102,	A0801CB1027 (UTC)                       ,
	T,	0086A139       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	345XT046       ,	 F,	S22000102,	A0801CB1285(UTC)                        ,
	T,	345XT046       ,	 F,	S22000102,	A0803CB1323(KNS)                        ,
	T,	345XT046       ,	 F,	S32000102,	A0801CB1285(UTC)                        ,
	T,	345XT046       ,	 F,	S32000102,	A0803CB1323(KNS)                        ,
	T,	345XT046       ,	 F,	S34000102,	A0801CB1285(UTC)                        ,
	T,	345XT046       ,	 F,	S34000102,	A0803CB1323(KNS)                        ,
	T,	345XT046       ,	 F,	S36000102,	A0801CB1285(UTC)                        ,
	T,	345XT046       ,	 F,	S36000102,	A0803CB1323(KNS)                        ,
	T,	345XT046       ,	 F,	S42000102,	A0801CB1285(UTC)                        ,
	T,	345XT046       ,	 F,	S42000102,	A0803CB1323(KNS)                        ,
	T,	0086A107       ,	 C,	S22000102,	A0803CB1212(KNS)                        ,
	T,	008YQ196       ,	 A,	S22000102,	A0803CB0883                             ,
	T,	0086A138       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048TP199       ,	 I,	S22000102,	A0801CB1000(UTC)                        ,
	T,	048TP199       ,	 I,	S22000102,	A0803CB1000(KNS)                        ,
	T,	060CA010       ,	 I,	S22000102,	A0801CB0802 (UTC)                       ,
	T,	060CA010       ,	 I,	S22000102,	A0803CB0802 (KNS)                       ,
	T,	054TS024       ,	 H,	S22000102,	A0801CB0961                             ,
	T,	054NB039       ,	 D,	S22000102,	A0803CB0514 (KNS)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0801CB0644 (UTC)                       ,
	T,	096EC002       ,	 Y,	S22000102,	A0803CB0644 (KNS)                       ,
	T,	078EN018       ,	 A,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN018       ,	 A,	S22000102,	A0803CB1169(KNS)                        ,
	T,	054TS017       ,	 F,	S22000102,	A0801CB0777                             ,
	T,	084UC196       ,	 E,	S22000102,	A0803CB1313(KNS)                        ,
	T,	084UC097       ,	 O,	S22000102,	A0803CB0785                             ,
	T,	162KE035       ,	 H,	S22000102,	A0803CB0818(KNS)                        ,
	T,	054MF003       ,	 F,	S22000102,	A0801CB0248                             ,
	T,	054TS034       ,	 C,	S22000102,	A0801CB0971 (UTC)                       ,
	T,	054TS036       ,	 C,	S22000102,	A0801CB0971 (UTC)                       ,
	T,	0442J026       ,	 A,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J026       ,	 A,	S32000102,	A0803CB1181(KNS)                        ,
	T,	078U9030       ,	 F,	S22000102,	A0801CB0823 (UTC)                       ,
	T,	078U9030       ,	 F,	S22000102,	A0803CB0823 (KNS)                       ,
	T,	010YK025       ,	 I,	S22000102,	A0803CB1315(KNS)                        ,
	T,	345XT061       ,	 A,	S22000102,	A0801CB1285(UTC)                        ,
	T,	345XT061       ,	 A,	S22000102,	A0803CB1323(KNS)                        ,
	T,	345XT061       ,	 A,	S32000102,	A0801CB1285(UTC)                        ,
	T,	345XT061       ,	 A,	S32000102,	A0803CB1323(KNS)                        ,
	T,	048TV269       ,	 F,	S22000102,	A0801CB0655(UTC)                        ,
	T,	048TV269       ,	 F,	S22000102,	A0803CB0655(KNS)                        ,
	T,	066TS032       ,	 A,	S22000102,	A0801CB0800(UTC)                        ,
