process_id,detail_id,master_desc,remark
0008W235,E20700199,Entity,ESEC-2100
0008W235,E20700199,Entity,ESEC-2100
0008W235,E20700199,Entity,ESEC-2100
0008W235,O20700198,Lot Size,3200
0008W235,R20100698,Entity Code,Y
0008W235,R21500198,PTN no,05
0008W235,S20400199,Support Entity,Dual
0008W235,S20400199,Support Entity,Dual
0008W235,S22000102,Support Entity,
0008W235,S22000103,Support Entity,FG085A-CD2911.5-06A
0008W257,E20700199,Entity,DB-700
0008W257,E20700199,Entity,DB-700
0008W257,E20700199,Entity,DB-700
0008W257,O20700198,Lot Size,1600
0008W257,R20100698,Entity Code,S
0008W257,S20400102,Support Entity,
0008W257,S20400102,Support Entity,
0008W376ENG,O20700198,Lot Size,1280
0008W376ENG,S20400102,Support Entity,
0008W376ENG,S20400102,Support Entity,
0008W393,O20700198,Lot Size,1120
0008W393,R20100698,Entity Code,S
0008W393,S20400102,Support Entity,
0008W393,S20400102,Support Entity,
0008W725,O20700198,Lot Size,3500
0008W725,R20100698,Entity Code,L
0008W725,S20400199,Support Entity,Dual
0008W725,S20400199,Support Entity,Dual
0008W772,O20700198,Lot Size,2500
0008W772,R20100698,Entity Code,C
0008W772,S20400102,Support Entity,
0008W772,S20400102,Support Entity,
0008W809,O20700198,Lot Size,1800
0008W809,R20100698,Entity Code,J
0008W809,S20400102,Support Entity,
0008W809,S20400102,Support Entity,
0008W904,O20700198,Lot Size,1600
0008W904,R20100698,Entity Code,H
0008W904,S20400102,Support Entity,
0008W904,S20400102,Support Entity,
0008W906,O20700198,Lot Size,1600
0008W906,S20400102,Support Entity,
0008W906,S20400102,Support Entity,
0008W918,O20700198,Lot Size,1600
0008W918,S20400102,Support Entity,
0008W918,S20400102,Support Entity,
0008W999,E20700199,Entity,ESEC-2100
0008W999,E20700199,Entity,ESEC-2100
0008W999,E20700199,Entity,ESEC-2100
0008W999,O20700198,Lot Size,4760
0008W999,R20100698,Entity Code,Y
0008W999,R20800698,PTN No,DV-026
0008W999,R21500198,PTN no,05
0008W999,R31500198,PTN no,05
0008W999,S20400199,Support Entity,Dual
0008W999,S20400199,Support Entity,Dual
0008W999,S22000102,Support Entity,
0008W999,S22000103,Support Entity,SI-23066-283F12
0008W999,S32000102,Support Entity,
