product,process_id,bom_id
000IABW056,000IA116,IA000041
000IAVT001,000IA081,IA000026
000SNV149,153XT081,XT153113
000IABW072,000IA143,IA000060
000IABW108,000IA220,IA000097
000SNV200,0086A050,6A008121
000IABW107,000IA218,IA000103
078ENCM014ENG,078EN003ENG,EN078022
063NWCM054ENG,063NW062,NW063072
000IACM187ENG,000IAE003,IA000E07
000IACM189ENG,000IAE002,IA000E06
086TACM029ENG,086TA127,TA086024
000IAQR007,000IA163,IA000075
020YUNI112,020YU006,YU020611
012Y3NI123,012Y3002,Y3012603
012Y3NI136,012Y3002,Y3012603
012Y3NI125,012Y3001,Y3012604
008OKNI037,008OK001,OK008601
008OKNI050,008OK001,OK008601
020YUNI107,020YU006,YU020611
008OKNI038,008OK001,OK008601
014OANI055,014OA002,OA014603
000IABW112,000IA232,IA000112
000IABW115,000IA235,IA000114
078ENMS009,078EN010,EN078019
000IABW032,000IA033,IA000013
008OKNI071,008OK001,OK008601
008OKNI073,008OK001,OK008601
000IABW142,000IA317,IA000140
008OKNI077,008OK001,OK008601
012Y3NI122,012Y3001,Y3012604
008OKNI036,008OK001,OK008601
0008WNV472,132X2296,8W000A01
012Y1NI059,012Y1002,Y1012604
020YUNI187,020YU002,YU020604
020YUNI202,020YU002,YU020604
012Y1NI052,012Y1002,Y1012604
008YKNI097,008YK046,YK008646
020YUNI168,020YU002,YU020604
020YUNI232,020YU001,YU020603
014OLNI040,014OL001,OL014602
020YUNI145,020YU002,YU020604
020YUNI246,020YU002,YU020604
020YUNI136,020YU002,YU020604
020YUNI221,020YU002,YU020604
000IABW094,000IA193,IA000090
016OFNI031,016OF004,OF016606
020YUNI133,020YU006,YU020611
020YUNI170,020YU002,YU020604
020YUNI263,020YU002,YU020604
020YUNI242,020YU001,YU020603
012Y3NI175,012Y3002,Y3012603
012Y3NI149,012Y3002,Y3012603
012Y3NI179,012Y3002,Y3012603
014OLNI031,014OL001,OL014602
008YKNI092,008YK046,YK008646
016OFNI036,016OF001,OF016604
016OFNI032,016OF001,OF016604
008Y7NI031,008Y7001,Y7008602
008Y7NI029,008Y7001,Y7008602
012Y3NI184,012Y3002,Y3012603
008YZNI040,008YZ006,YZ008004
012Y3NI134,012Y3002,Y3012603
0086ANV178,0086A137,6A008211
020YUNI204,020YU002,YU020604
012Y3NI139,012Y3002,Y3012603
054TSAB011,054TS044,TS054044
000IABW123,000IA259,IA000121
020YUNI286,020YU002,YU020604
020YUNI217,020YU002,YU020604
012Y3NI190,012Y3002,Y3012603
0086ANV163,0086A139,6A008192
0086ANV161,0086A137,6A008190
345XTNV066,345XT046,XT345068
0086ANV147,0086A107,6A008158
020YUNI175,020YU002,YU020604
012Y3NI148,012Y3002,Y3012603
008YQAS048,008YQ196,YQ008230
000IABW074,000IA147,IA000064
000IABW036,000IA031,IA000016
008OKNI047,008OK001,OK008601
000IABW028,000IA068,IA000001
020YUNI130,020YU002,YU020604
012Y3NI157,012Y3001,Y3012604
012Y3NI169,012Y3002,Y3012603
0086ANV180,0086A139,6A008213
0086ANV179,0086A138,6A008212
016OFNI016,016OF003,OF016610
008OKNI058,008OK001,OK008601
048TPAW103,048TP199,TP048141
000IABW064,000IA125,IA000050
060CACD003,060CA010,CA060010
054TSCS014,054TS024,TS054024
054NBGA028,054NB039,NB054039
096ECMS003,096EC002,EC096002
014OANI053,014OA002,OA014603
008OKNI021,008OK001,OK008601
008OKNI041,008OK001,OK008601
012Y3NI121,012Y3002,Y3012603
020YUNI289,020YU006,YU020611
000IAQR039,000IA298,IA000143
078ENTF001,078EN018,EN078031
054TSAB006,054TS017,TS054017
084UCAS104,084UC196,CC084199
084UCAS068,084UC097,CC084097
0008WAW094,048TP199,8W000A01
162KEAW001,162KE035,KE162039
054MFBU004,054MF003,MF054004
000IABW040,000IA085,IA000025
054TSCS007,054TS034,TS054034
054TSCS009,054TS036,TS054036
0442JHQ026,0442J026,2J044032
078U9LW014,078U9030,C9078033
020YUNI294,020YU002,YU020604
020YUNI141,020YU002,YU020604
020YUNI302,020YU002,YU020604
008YKNI090,008YK046,YK008046
010YKNI037,010YK025,YK010030
010YKNI039,010YK025,YK010630
020YUNI151,020YU001,YU020603
008YZNI036,008YZ006,YZ008604
020YUNI122,020YU002,YU020604
0008WNV508,0008WA411,8W000A01
345XTNV082,345XT061,XT345087
048TVOK056,048TV269,TV048272
066TSQW001,066TS032,TS066A18
078EPRK001,078EP007,EP078011
056THVG006,056TH167,TH056169
096EFAB009,096EF048,EF096050
008YDAB015,008YD091,YD008098
024XWAB003,024XW016,XW024022
054NRAB004,054NR004,NR054004
024MAAB088,024MA237,MA024252
066TSAS029,066TS070,TS066036
048MAAS008,048MA351,MA048136
008Y6AW034,008Y6089,Y6008089
024MAAW023,024MA084,MA024054
