OPER,CUST,B/D#,MODEL,G.UPH
2200,MXIC,AAW016D53011A,UTC2000S,0.0000
2200,MXIC,AAW016D53011A,UTC1000S,0.0000
2200,MXIC,AAW016D53011A,UTC2000,85.2863
2200,MXIC,AAW016D53011A,UTC1000,0.0000
2200,MXIC,AAW016D53011A,UTC3000,101.2351
2200,MXIC,AAW016D53011A,MAXUM,0.0000
2200,MXIC,AAW016D53011A,MAXUM-CU,0.0000
2200,MXIC,AAW016D53011A,MAXUM-BASE,0.0000
2200,MXIC,AAW016D53011A,MAXUM-PLUS,104.2246
2200,MXIC,AAW016D53011A,ICONN-PLUS,0.0000
2200,MXIC,AAW016D53011A,ICONN,0.0000
2200,MXIC,AAW016D53011A,RAPID,113.3830
2200,MXIC,AAW016D53011A,UTC5000S,108.9892
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,MXIC,AAW016D53019A,,0.0000
2200,ETRON,ACD008DR1031A,,0.0000
2200,ETRON,ACD008DR1031A,,0.0000
2200,ETRON,ACD008DR1031A,,0.0000
2200,ETRON,ACD008DR1031A,,0.0000
2200,ETRON,ACD008DR1031A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,ENG,AXY391KJ3003A,,0.0000
2200,EMC,AHQ0345J1001A,MAXUM,0.0000
2200,EMC,AHQ0345J1001A,MAXUM-BASE,0.0000
2200,EMC,AHQ0345J1001A,ICONN,213.4144
2200,EMC,AHQ0345J1001A,MAXUM-CU,0.0000
2200,EMC,AHQ0345J1001A,RAPID,194.7147
2200,EMC,AHQ0345J1001A,MAXUM-PLUS,0.0000
2200,EMC,AHQ0345J1001A,ICONN-PLUS,210.5437
2200,EMC,AHQ0242D1001B,UTC1000S,0.0000
2200,EMC,AHQ0242D1001B,UTC3000,323.1136
2200,EMC,AHQ0242D1001B,UTC2000S,0.0000
2200,EMC,AHQ0242D1001B,UTC1000,0.0000
2200,EMC,AHQ0242D1001B,UTC2000,0.0000
