bd_id,cust,end_time,entity,lot_number,part_id,part_no,pin_pkg,prod_id,qty,start_time
AAW016D53011A,MXIC,0.000000,BB211,P12AWF223,1091A07T41,A0803CB0934,SSLGA16DOU,016D5AW020,0,0.000000
ABU024XJ6003A,ISSI-VG,1450.000000,BB212,P15VGB601,1091A07T41,A0803CB1129 ,STBGA24J4U,024XJVG009,0,0.000000
AMS078EN1001A,MTI,553.000000,BB213,P15MSEC01,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AAW048TP1008B,MXIC,9.000000,BB214,P15AWAE40,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AMS078EN1001A,MTI,236.000000,BB215,P15MSBN04,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AAW048TP1008B,MXIC,85.000000,BB216,P15AWAF48,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW048TP1008B,MXIC,106.000000,BB217,P15AWAF05,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW048TP1008B,MXIC,678.000000,BB218,P15AWAG18,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW016D53011A,MXIC,0.000000,BB219,P12AWF203,1091A07T41,A0803CB0934,SSLGA16DOU,016D5AW020,0,0.000000
AAW048TP1008B,MXIC,247.000000,BB220,P15AWAF18,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW048TP1008B,MXIC,400.000000,BB223,P15AWAF44,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AMS096EC3001B,MTI,980.000000,BB225,P16MSBE02,1091A06T21,A0803CB0824 ,FBGA-96UEC,096ECMS010,0,0.000000
AAW048TP1008B,MXIC,166.000000,BB226,P15AWAF25,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW048TP1008B,MXIC,210.000000,BB228,P15AWAF20,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW048TP1008B,MXIC,696.000000,BB229,P15AWAF43,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AMS078EN1001A,MTI,139.000000,BB230,P15MSBH08,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AAW016D53011A,MXIC,0.000000,BB231,P12AWF221,1091A07T41,A0803CB0934,SSLGA16DOU,016D5AW020,0,0.000000
AMS096EC3001B,MTI,670.000000,BB232,P16MSBQ02,1091A06T21,A0803CB0824 ,FBGA-96UEC,096ECMS010,0,0.000000
ABU024XJ6003A,ISSI-VG,164.000000,BB233,P15VGB501,1091A07T41,A0803CB1129 ,STBGA24J4U,024XJVG009,0,0.000000
AMS078EN1001A,MTI,136.000000,BB234,P15MSBH07,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AAW048TP1008B,MXIC,41.000000,BB235,P15AWAE23,1091A08T41,A0803CB1000,TSOP1-48/M2,048TPAW103,0,0.000000
AAW024MA6025A,MXIC,116.000000,BB441,P15AWFT05,1091A07T41,A0801CB0700,MINIBGA24A4L,024MAAW048,0,0.000000
AAB060EM2001A,WINBOND,655.000000,BB442,P16ABAF01,1091A07T21,A0801CB1291,FBGA60UEM2-1,060EMAB004,0,0.000000
