cust,pin_pkg,prod_id,bd_id,Location,Original ENT(07:30),Original ENT(11:00),Allocate ENT,Output plan
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,3.0,3.0,6,5305
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-P,3.0,1.0,5,12115
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-U,3.0,1.0,3,0
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,0,0,2,80000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,3.0,3.0,7,128000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,0,0,7,239518
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,0,0,20,736000
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA-2,1.0,1.0,9,73426
CHIPLUS,MBGA48A2L,048MAHD002,AHD048MA4001A,TA,1.0,1.0,1,0
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA,1.0,0,1,0
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,0,0,2,6016
CYPRESS,TSOP2-54CMES,054TSCS017,ACS054TS1009A,TA-2,1.0,0,2,2014
CYPRESS,TSOP2-54ME,054TNCS005,ACS054TN1003A,TA,1.0,0,1,0
ChipMOS,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-U,0,0,1,168
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-R,0,0,3,283
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,0,0,3,430
ChipMOS,DFN-08YD2A,008YDVG006,ABU008YD2004A,TB-U,0,0,1,24
ChipMOS,DFN-08YD2A,008YDVG007,ABU008YD2003A,TB-U,0,0,1,19
ChipMOS,DFN-08YD2A,008YDVG008,ABU008YD2006A,TB-P,0,0,1,4
ChipMOS,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,0,0,1,10
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-P,0,0,1,1244
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,0,0,3,1147
ChipMOS,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-P,0,0,1,269
ChipMOS,DFN-08YM2D,008YMAB051,AAB008YM2019A,TB-P,0,0,1,193
ChipMOS,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-R,0,0,1,181
ChipMOS,DFN-08YM2D,008YMAB068,AAB008YM2018A,TB-P,0,0,1,450
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,0,0,2,255
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-P,0,0,1,90
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,0,0,1,120
